  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  1.1000e-13           55.61484100            0.00000000        2935.43972355       -39925.72495511       -36990.28523156 
  1.1500e-13           57.68350977            0.00000000        3044.62734989       -40040.29154358       -36995.66419369 
  1.2000e-13           59.93952509            0.00000000        3163.70342485       -40193.91603565       -37030.21261080 
  1.2500e-13           62.52695828            0.00000000        3300.27226199       -40381.92503079       -37081.65276880 
  1.3000e-13           65.56982564            0.00000000        3460.87963895       -40592.82802306       -37131.94838412 
  1.3500e-13           68.78710809            0.00000000        3630.69292151       -40818.30293966       -37187.61001815 
  1.4000e-13           72.10539270            0.00000000        3805.83725842       -41050.53271771       -37244.69545929 
  1.4500e-13           75.45079738            0.00000000        3982.41303621       -41282.46763596       -37300.05459975 
  1.5000e-13           78.76254013            0.00000000        4157.21208331       -41507.94117089       -37350.72908757 
  1.5500e-13           81.99140032            0.00000000        4327.63645743       -41721.69191528       -37394.05545785 
  1.6000e-13           85.09993125            0.00000000        4491.70966180       -41919.64702323       -37427.93736143 
  1.6500e-13           88.05505846            0.00000000        4647.68597403       -42098.73767986       -37451.05170583 
  1.7000e-13           90.83401391            0.00000000        4794.36366017       -42257.00277158       -37462.63911141 
  1.7500e-13           93.43135434            0.00000000        4931.45541742       -42393.63355269       -37462.17813526 
  1.8000e-13           95.84445903            0.00000000        5058.82291931       -42508.63968331       -37449.81676400 
  1.8500e-13           98.07901373            0.00000000        5176.76626887       -42602.84488008       -37426.07861121 
  1.9000e-13          100.15417140            0.00000000        5286.29638976       -42677.94798489       -37391.65159513 
  1.9500e-13          102.08703222            0.00000000        5388.31585655       -42736.22576993       -37347.90991338 
  2.0000e-13          103.89831591            0.00000000        5483.91828944       -42780.45787578       -37296.53958633 
  2.0500e-13          105.61859386            0.00000000        5574.71729424       -42813.70806971       -37238.99077546 
  2.1000e-13          107.28416987            0.00000000        5662.62904438       -42839.18081862       -37176.55177423 
  2.1500e-13          108.91331501            0.00000000        5748.61791461       -42860.03162474       -37111.41371013 
  2.2000e-13          110.52921942            0.00000000        5833.90791850       -42879.30042011       -37045.39250160 
  2.2500e-13          112.16545092            0.00000000        5920.27081816       -42899.45000467       -36979.17918651 
  2.3000e-13          113.84213973            0.00000000        6008.76911930       -42922.66001307       -36913.89089377 
  2.3500e-13          115.56830176            0.00000000        6099.87869514       -42950.36297130       -36850.48427615 
  2.4000e-13          117.35127971            0.00000000        6193.98710581       -42983.82449230       -36789.83738648 
  2.4500e-13          119.20787437            0.00000000        6291.98112350       -43023.97256051       -36731.99143701 
  2.5000e-13          121.14299635            0.00000000        6394.11993800       -43071.48070836       -36677.36077036 
  2.5500e-13          123.15467125            0.00000000        6500.29933749       -43126.93976201       -36626.64042452 
  2.6000e-13          125.25152306            0.00000000        6610.97450949       -43191.22894807       -36580.25443858 
  2.6500e-13          127.44062892            0.00000000        6726.51899707       -43265.17420029       -36538.65520321 
  2.7000e-13          129.73257760            0.00000000        6847.49169241       -43349.81613895       -36502.32444654 
  2.7500e-13          132.12327047            0.00000000        6973.67626235       -43446.12446831       -36472.44820596 
  2.8000e-13          134.63677888            0.00000000        7106.34323251       -43554.89909287       -36448.55586035 
  2.8500e-13          137.28654555            0.00000000        7246.20213000       -43675.95269851       -36429.75056852 
  2.9000e-13          140.05021434            0.00000000        7392.07296191       -43808.76722092       -36416.69425901 
  2.9500e-13          142.90928949            0.00000000        7542.97949367       -43952.21378882       -36409.23429515 
  3.0000e-13          145.85311792            0.00000000        7698.35943863       -44105.09872578       -36406.73928715 
  3.0500e-13          148.87756466            0.00000000        7857.99454553       -44266.14652292       -36408.15197739 
  3.1000e-13          151.96757999            0.00000000        8021.09046713       -44434.02540694       -36412.93493981 
  3.1500e-13          155.12244694            0.00000000        8187.60936008       -44607.44331175       -36419.83395167 
  3.2000e-13          158.31691024            0.00000000        8356.21821159       -44784.92333226       -36428.70512067 
  3.2500e-13          161.53823779            0.00000000        8526.24500081       -44965.64549475       -36439.40049395 
  3.3000e-13          164.73131722            0.00000000        8694.78080962       -45148.67238799       -36453.89157836 
  3.3500e-13          167.94408601            0.00000000        8864.35585401       -45335.53112526       -36471.17527125 
